band,start_year,end_year,city,State,country,latitude,longitude,Influences,Influenced_by,notes
She Past Away,2006,,Bursa,,Turky,,,,,
Otto Dix,2004,,Khabarovsk,,Russia,,,,,
Jakuzi,2015,,Istanbul,,Turky,,,,,
Fiction 8,1989,,Boulder,Colorado,USA,,,,,
Breath of Life,1985,,Gembloux,,Bulgarian,,,,,
Mittageisen,1981,,Zürich,,Switzerland,,,,,
Clan of Xymox,1981,,Nijmegen,,Dutch,,,,,
Diary of Dreams,1989,,Düsseldorf,,Germany,,,,,
The Cruxshadows,1992,,Jacksonville,Florida,USA,,,,,
Switchblade Sumphony,1989,1999,San Francisco,,USA,,,,,
Blutengel,1998,,Berlin,,Germany,,,,,
Faith and the Muse,1993,,Los Angeles,California,USA,,,,,
Kælan Mikla,2013,,Reykjavík,,Iceland,,,,,
Lebanon Hanover,2010,,Sunderland,,England,,,,,
Lycia,1988,,Tempe,Arizona,USA,,,,,
Drab Majesty,2011,,Los Angeles,California,USA,,,,,
Parzival,1999,,Copenhagen,,Denmark,,,,,
Dargaard,9997,,Mistelbach,,Austria,,,,,
Light Asylum,2008,,Brooklyn,New York,New York,,,,,
She Wants Revenge,2005,2020,San Fernando Valley,California,USA,,,,,
Boy Harsher,2013,,Savannah,Georgia,USA,,,,,
Deine Lakaien,1985,,Munich,,Germany,,,,,
Sopor Aeternus & the Ensemble of Shadows,1989,,Frankfurt,,Germany,,,,,
Dvar,1996,,None,,Russia,,,,,
L'Âme Immortelle,1996,,Vienna,,Austria,,,,,
Diorama,1996,,Reutlingen,,Germany,,,,,
Dead Can Dance,1981,,Melbourne,,Austria,,,,,
Kirlian Camera,1979,,Parma,,Italy,,,,,
Theodor Bastard,1996,,St Petersburg,,Russia,,,,,
Black Tape for a Blue Girl,1986,,Los Angeles,California,USA,,,,,
Collide,1992,,Los Angeles,California,USA,,,,,
Joy Division,1976,1980,Salford,,England,,,,,
The Sisters of Mercy,1977,,Leeds,,England,,,,,
Ash Code,2014,,Napoli,,Italy,,,,,
The Cure,1976,,"Crawley, West Sussex",,England,,,,,
Field of the Nephilim,1984,,"Stevenage, Hertfordshire",,England,,,,,
Linea Aspera,2011,,London,,England,,,,,
Killing Joke,1978,,Cheltenham,,England,,,,,
Lacrimosa,1990,,	Frankfurt,,Germany,,,,,
The Birthday Masacre,1999,,Ontario,,Canada,,,,,
London After Midnight,1990,,Los Angeles,California,USA,,,,,
Molchat Doma,2017,,Minsk,,Belarus,,,,,
Night Club,2011,,Los Angeles,California,USA,,,,,
The Frozen Autumn,1993,,Turin,,Italy,,,,,
Project Pitchfork,1989,,Hamburg,,Germany,,,,,
Midnight Syndicate,1996,,Chardon,Ohio,USA,,,,,
VNV Nation,1990,,London,,England,,,,,
Christian Death,1979,,Los Angeles,California,USA,,,,,
Darling Violetta,1997,,Los Angeles,California,USA,,,,,
Nox Arcana,2003,,Cleveland,Ohio,USA,,,,,
Woldsheim,1987,2005,Hamburg,,Germany,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Trust,,,,,,,,,,
Siouxy and the Banshees,,,,,,,,,,
Cocteau Twins,,,,,,,,,,
